X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
17205	LOC575449	1.29e-282	2.369565016	0.946	0.129	2.82e-278	late histone H2A.2.1	spu:575449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16562	LOC373342	1.56e-115	2.338958962	0.876	0.32	3.4e-111	histone H1, early embryonic	spu:373342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4422	LOC105437610	2.19e-43	2.198813017	0.548	0.22	4.78e-39	histone H2B.2, embryonic-like	spu:105437610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5476	LOC105440219	3.24e-56	2.113403587	0.651	0.266	7.08e-52	histone H2B.2, embryonic	spu:105440219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21131	LOC582810	5.46e-168	1.878697816	0.914	0.22	1.19e-163	uncharacterized protein LOC582810 isoform X1	spu:582810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19558	LOC579744	0	1.767570861	0.661	0.009	0	LOW QUALITY PROTEIN: histone H1.1	spu:579744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21357	LOC583286	1.46e-133	1.739173246	0.887	0.265	3.18e-129	CTD small phosphatase-like protein 2 isoform X1	spu:583286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3670	LOC100893744	7.57e-302	1.640826643	0.527	0.029	1.65e-297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25639	LOC593337	0	1.622415967	0.575	0.027	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19308	LOC579293	2.5e-103	1.524729422	0.989	0.656	5.45e-99	histone H3, embryonic	spu:579293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22386	LOC585718	0	1.468691254	0.409	0.011	0	uncharacterized protein LOC585718 isoform X1	spu:585718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20431	LOC581409	1.63e-102	1.429924486	0.919	0.342	3.56e-98	nucleolar RNA helicase 2	spu:581409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	LOC100890687	5.32e-41	1.418158675	0.72	0.414	1.16e-36	late histone H2A.2.2-like	spu:100890687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3352	LOC100893240	6.71e-93	1.359903378	0.661	0.167	1.46e-88	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17296	LOC575632	5.14e-83	1.31806997	0.78	0.269	1.12e-78	ribosome biogenesis regulatory protein homolog	spu:575632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
