X	Row.names	T8_LG_p_val	T8_LG_avg_logFC	T8_LG_pct.1	T8_LG_pct.2	T8_LG_p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
17224	LOC575449	7.4e-50	2.272544993	0.957	0.102	1.62e-45	late histone H2A.2.1	spu:575449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5490	LOC105440219	1.47e-13	2.118795894	0.609	0.142	3.21e-9	histone H2B.2, embryonic	spu:105440219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19325	LOC579293	4.42e-19	1.91500319	1	0.463	9.65e-15	histone H3, embryonic	spu:579293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16581	LOC373342	2.3e-12	1.859131269	0.783	0.3	5.01e-8	histone H1, early embryonic	spu:373342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21148	LOC582810	6.72e-27	1.773794688	1	0.231	1.47e-22	uncharacterized protein LOC582810 isoform X1	spu:582810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3364	LOC100893240	6.74e-19	1.608730297	0.783	0.184	1.47e-14	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21374	LOC583286	2.85e-16	1.60738229	0.87	0.301	6.21e-12	CTD small phosphatase-like protein 2 isoform X1	spu:583286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4435	LOC105437610	1.27e-9	1.535731626	0.478	0.119	2.78e-5	histone H2B.2, embryonic-like	spu:105437610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20447	LOC581409	5.17e-17	1.517113445	0.957	0.357	1.13e-12	nucleolar RNA helicase 2	spu:581409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25311	LOC592537	1.77e-17	1.498554963	0.826	0.225	3.86e-13	macoilin	spu:592537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4979	LOC105438992	8.71e-17	1.453598199	0.565	0.096	1.9e-12	protein maelstrom homolog	spu:105438992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22403	LOC585718	0	1.446180938	0.609	0.004	0	uncharacterized protein LOC585718 isoform X1	spu:585718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
300	LOC100888193	1.6e-13	1.435608029	0.826	0.302	3.5e-9	uncharacterized protein LOC100888193	spu:100888193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5636	LOC105440594	2.4e-10	1.368499912	0.652	0.209	5.23e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18365	LOC577531	2.71e-13	1.361498689	0.913	0.481	5.92e-9	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25845	LOC593799	4.33e-14	1.3490612	1	0.497	9.44e-10	protein CDV3 homolog	spu:593799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24587	LOC590932	5.56e-12	1.344102587	0.826	0.335	1.21e-7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21641	LOC583874	4.53e-8	1.341709173	0.652	0.242	9.88666e-4	importin subunit alpha-1 isoform X1	spu:583874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28111	LOC764213	2.82e-14	1.336199466	0.826	0.294	6.15e-10	tyrosine-protein phosphatase non-receptor type 9	spu:764213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17574	LOC576113	1.49e-38	1.326645602	0.739	0.072	3.25e-34	ankyrin repeat and LEM domain-containing protein 1	spu:576113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24768	LOC591382	1.95e-11	1.302397474	0.652	0.191	4.25e-7	PIN2/TERF1-interacting telomerase inhibitor 1	spu:591382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27815	LOC763214	3.52e-14	1.298726389	0.87	0.308	7.68e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18857	LOC578409	2.43e-17	1.290115326	0.696	0.144	5.3e-13	uncharacterized protein LOC578409	spu:578409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20492	LOC581507	8.66e-13	1.283224744	0.609	0.148	1.89e-8	structural maintenance of chromosomes protein 5 isoform X1	spu:581507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23536	LOC588503	2.73e-16	1.279568175	1	0.988	5.97e-12	heterogeneous nuclear ribonucleoprotein R isoform X1	spu:588503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19643	LOC579871	2.27e-13	1.273993157	1	0.561	4.96e-9	DNA-binding protein HEXBP isoform X1	spu:579871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18550	LOC577855	4.02e-15	1.268979477	0.913	0.33	8.78e-11	guanine nucleotide-binding protein-like NSN1	spu:577855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22890	LOC586862	3.38e-10	1.261183183	0.696	0.251	7.38e-6	46 kDa FK506-binding nuclear protein isoform X1	spu:586862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26499	LOC752810	2.65e-12	1.253040997	0.565	0.13	5.77e-8	uncharacterized protein LOC752810 isoform X1	spu:752810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28396	vasa	8.76e-14	1.251578871	0.609	0.135	1.91e-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17518	LOC576005	8.53e-13	1.24298266	1	0.764	1.86e-8	voltage-dependent anion-selective channel protein 2	spu:576005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19689	LOC579948	1.89e-14	1.2355086	0.957	0.401	4.11e-10	ubinuclein-2	spu:579948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24717	LOC591266	4.01e-10	1.234680822	0.87	0.442	8.74e-6	cystathionine beta-synthase	spu:591266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25087	LOC592046	3.08e-14	1.234154085	1	0.796	6.72e-10	terminal nucleotidyltransferase 4B	spu:592046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
