X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
25631	LOC593337	4.59e-72	2.186351662	0.747	0.272	1e-67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16557	LOC373342	2.13e-68	2.111133579	0.962	0.838	4.64e-64	histone H1, early embryonic	spu:373342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17199	LOC575449	6.47e-103	2.070981748	0.975	0.468	1.41e-98	late histone H2A.2.1	spu:575449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19549	LOC579744	0	1.985155155	0.778	0.039	0	LOW QUALITY PROTEIN: histone H1.1	spu:579744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3666	LOC100893744	2.43e-52	1.756027359	0.677	0.283	5.31e-48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21121	LOC582810	7.31e-102	1.68933354	0.772	0.196	1.59e-97	uncharacterized protein LOC582810 isoform X1	spu:582810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21348	LOC583286	1.17e-81	1.644249463	0.842	0.339	2.55e-77	CTD small phosphatase-like protein 2 isoform X1	spu:583286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24350	LOC590448	1.14e-103	1.576894644	0.525	0.073	2.48e-99	uncharacterized protein LOC590448	spu:590448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18726	LOC578215	3.08e-69	1.507895417	0.684	0.212	6.72e-65	G kinase-anchoring protein 1	spu:578215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24685	LOC591266	8.62e-70	1.497711592	0.791	0.299	1.88e-65	cystathionine beta-synthase	spu:591266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22729	LOC586560	1.37e-58	1.493997771	0.816	0.451	3e-54	uncharacterized protein LOC586560	spu:586560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16584	LOC373382	4.83e-54	1.393765748	0.835	0.506	1.05e-49	mitochondrial ATP synthase alpha subunit precursor	spu:373382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27781	LOC763214	1.07e-50	1.371868994	0.677	0.275	2.33e-46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17928	LOC576796	1.16e-41	1.296127842	0.804	0.563	2.52e-37	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
235	LOC100888091	1.1e-232	1.291262498	0.278	0.007	2.4e-228	uncharacterized protein LOC100888091 isoform X1	spu:100888091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18339	LOC577531	4.63e-37	1.231183274	0.709	0.406	1.01e-32	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18917	LOC578567	3.96e-59	1.208338504	0.949	0.662	8.65e-55	transcriptional regulator ATRX homolog isoform X1	spu:578567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25974	LOC594218	3.35e-38	1.200042814	0.532	0.197	7.31e-34	nuclear speckle splicing regulatory protein 1	spu:594218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20421	LOC581409	8.92e-41	1.19174777	0.766	0.429	1.95e-36	nucleolar RNA helicase 2	spu:581409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5175	LOC105439514	1.62e-133	1.191043806	0.437	0.039	3.54e-129	uncharacterized protein CG13380-like	spu:105439514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20932	LOC582369	1.31e-45	1.190562492	0.57	0.199	2.86e-41	double-stranded RNA-binding protein Staufen homolog 2 isoform X1	spu:582369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17935	LOC576803	1.14e-58	1.182274774	0.943	0.772	2.5e-54	60S ribosomal protein L22	spu:576803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
