X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
17204	LOC575449	5.63e-131	2.282319549	0.928	0.285	1.23e-126	late histone H2A.2.1	spu:575449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16562	LOC373342	3.99e-70	2.180308113	0.946	0.724	8.71e-66	histone H1, early embryonic	spu:373342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25635	LOC593337	1.26e-117	2.113047747	0.675	0.131	2.75e-113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21129	LOC582810	5.4e-131	1.904722165	0.813	0.187	1.18e-126	uncharacterized protein LOC582810 isoform X1	spu:582810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19556	LOC579744	0	1.759039874	0.608	0.019	0	LOW QUALITY PROTEIN: histone H1.1	spu:579744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21355	LOC583286	1.94e-84	1.680921141	0.789	0.281	4.24e-80	CTD small phosphatase-like protein 2 isoform X1	spu:583286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3669	LOC100893744	2.85e-96	1.640603641	0.572	0.107	6.21e-92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22736	LOC586560	1.93e-73	1.532122012	0.886	0.482	4.21e-69	uncharacterized protein LOC586560	spu:586560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24691	LOC591266	5.18e-64	1.438178377	0.741	0.289	1.13e-59	cystathionine beta-synthase	spu:591266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5475	LOC105440219	6.23e-19	1.393833303	0.717	0.602	1.36e-14	histone H2B.2, embryonic	spu:105440219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27784	LOC763214	3.42e-54	1.393242415	0.681	0.279	7.47e-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20429	LOC581409	1.16e-58	1.386398236	0.801	0.388	2.54e-54	nucleolar RNA helicase 2	spu:581409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18733	LOC578215	3.71e-49	1.359622829	0.614	0.233	8.09e-45	G kinase-anchoring protein 1	spu:578215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24356	LOC590448	4.76e-119	1.351155613	0.416	0.041	1.04e-114	uncharacterized protein LOC590448	spu:590448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4421	LOC105437610	1.39e-8	1.338258753	0.542	0.456	3.03165e-4	histone H2B.2, embryonic-like	spu:105437610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22384	LOC585718	1.99e-85	1.27968764	0.355	0.042	4.35e-81	uncharacterized protein LOC585718 isoform X1	spu:585718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18344	LOC577531	1.09e-53	1.268621708	0.807	0.444	2.37e-49	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16589	LOC373382	3.13e-60	1.260148415	0.867	0.532	6.83e-56	mitochondrial ATP synthase alpha subunit precursor	spu:373382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19671	LOC579948	4.53e-42	1.219176469	0.608	0.252	9.9e-38	ubinuclein-2	spu:579948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17940	LOC576803	2.13e-71	1.213617497	0.976	0.82	4.65e-67	60S ribosomal protein L22	spu:576803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16573	LOC373354	2.13e-29	1.208236773	0.777	0.615	4.65e-25	histone H1-beta, late embryonic	spu:373354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16701	LOC548622	4.8e-52	1.201667023	0.88	0.629	1.05e-47	ATP synthase beta subunit	spu:548622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4360	LOC105437488	2.32e-42	1.196067687	0.741	0.427	5.07e-38	uncharacterized protein LOC105437488	spu:105437488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25978	LOC594218	4.08e-49	1.18008271	0.542	0.171	8.9e-45	nuclear speckle splicing regulatory protein 1	spu:594218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25818	LOC593799	4.03e-57	1.179216115	0.916	0.621	8.8e-53	protein CDV3 homolog	spu:593799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17933	LOC576796	2.39e-40	1.177413167	0.795	0.511	5.23e-36	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17295	LOC575632	2.54e-53	1.174689121	0.687	0.265	5.53e-49	ribosome biogenesis regulatory protein homolog	spu:575632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3352	LOC100893240	1.84e-44	1.16003969	0.488	0.15	4.01e-40	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20940	LOC582369	6.58e-44	1.138336453	0.536	0.185	1.44e-39	double-stranded RNA-binding protein Staufen homolog 2 isoform X1	spu:582369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18373	LOC577596	1.23e-41	1.122842471	0.922	0.881	2.69e-37	ribonucleoside-diphosphate reductase subunit M2	spu:577596	LOC105336299	ribonucleoside-diphosphate reductase small chain	4	0.205183965711303	8.23718223408409	0.986196319018405	0.20805590302297	0.356253420411452	2.76543454240554e-150	1.10007879923075e-144	lcl|NW_011936011.1_cds_XP_011438847.1_18724	sp|P07201|RIR2_SPISO	0	XP_780110.1	0	72008642	ECB-GENE-23063405	FBgn0011704	1.37e-85	C03C10.3.1	2.84e-168	rnr-2	XP_011438847.1	PREDICTED: ribonucleoside-diphosphate reductase small chain [Crassostrea gigas]	0
25289	LOC592550	3.8e-35	1.117626087	0.717	0.45	8.3e-31	WD repeat-containing protein 43	spu:592550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4964	LOC105438992	6.85e-60	1.114933696	0.446	0.096	1.5e-55	protein maelstrom homolog	spu:105438992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6449	LOC105442790	7.55e-49	1.10405006	0.404	0.094	1.65e-44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17498	LOC576005	3.56e-39	1.094183854	0.843	0.686	7.78e-35	voltage-dependent anion-selective channel protein 2	spu:576005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20480	LOC581517	1.87e-42	1.088867386	0.813	0.539	4.08e-38	ataxin-2-like protein isoform X2	spu:581517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20912	LOC582325	2.49e-54	1.082693417	0.904	0.623	5.44e-50	ADP-ribosylation factor 1	spu:582325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23814	LOC589199	1.52e-35	1.082493984	0.783	0.526	3.31e-31	centromere protein C	spu:589199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20529	LOC581608	9.05e-34	1.07426086	0.699	0.413	1.98e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7529	LOC105445697	1.07e-33	1.062489251	0.446	0.156	2.33e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25963	LOC594186	4.43e-69	1.05658076	0.982	0.881	9.67e-65	small ubiquitin-related modifier 3	spu:594186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2870	LOC100892388	2.26e-34	1.051981663	0.53	0.215	4.93e-30	uncharacterized protein LOC100892388 isoform X2	spu:100892388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18924	LOC578567	2.41e-40	1.048096663	0.861	0.624	5.27e-36	transcriptional regulator ATRX homolog isoform X1	spu:578567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19162	LOC579034	5.7e-31	1.03737093	0.536	0.238	1.24e-26	transcriptional activator protein Pur-beta isoform X1	spu:579034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19192	LOC579087	2.35e-52	1.036169734	0.373	0.073	5.12e-48	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921036.1_4456	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
19192	LOC579087	2.35e-52	1.036169734	0.373	0.073	5.12e-48	teneurin-3 isoform X1	spu:579087	LOC105324492	teneurin-2	2	0.136381658906295	0.878209493241462	0.440711462450593	0.309457934558678	0.104989319740314	1.45956235618662e-53	5.80608067041612e-48	lcl|NW_011934994.1_cds_XP_019921047.1_4457	sp|O61307|TENM_DROME	0	XP_030836269.1	0	1752349390	ECB-GENE-23043522	FBgn0004449	7.28e-17	R13F6.4e.1	0	ten-1	XP_011421885.1	PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421893.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421907.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421915.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421923.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421929.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421937.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421944.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_011421953.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921036.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]XP_019921047.1 PREDICTED: teneurin-m isoform X1 [Crassostrea gigas]	0
