X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	X.1	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
234	LOC100888091	4.78e-173	2.168140458	0.944	0.105	1.04e-168	uncharacterized protein LOC100888091 isoform X1	spu:100888091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	Alx1	9.67e-81	2.022945705	1	0.34	2.11e-76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24336	LOC590448	4.69e-105	1.709553047	0.935	0.175	1.02e-100	uncharacterized protein LOC590448	spu:590448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22433	LOC585895	8.56e-131	1.498493481	0.897	0.112	1.87e-126	paired mesoderm homeobox protein 2A	spu:585895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	delta	6.14e-111	1.349993544	0.907	0.14	1.34e-106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16493	LOC373243	3.94e-60	1.322362279	0.991	0.358	8.6e-56	zinc finger protein similar to Kruppel	spu:373243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2438	LOC100891660	6.78e-68	1.312822405	0.972	0.298	1.48e-63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18687	LOC578151	1.93e-64	1.218513249	0.953	0.434	4.21e-60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6977	LOC105444259	1.24e-96	1.175918467	0.757	0.118	2.7e-92	uncharacterized protein LOC105444259	spu:105444259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20177	LOC580957	5.64e-55	1.162742688	0.916	0.466	1.23e-50	60S ribosomal protein L27	spu:580957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17925	LOC576803	3.78e-45	1.149160251	0.85	0.467	8.25e-41	60S ribosomal protein L22	spu:576803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17836	LOC576654	3.3e-54	1.127665573	0.925	0.499	7.2e-50	40S ribosomal protein S26 isoform X1	spu:576654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18622	LOC578034	8.53e-51	1.069547245	0.888	0.447	1.86e-46	ribosomal protein L21-like	spu:578034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16496	LOC373246	2.54e-49	1.050078669	0.925	0.518	5.53e-45	60S ribosomal protein L18	spu:373246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
